occ_0,occ_1,occ_2,occ_3,occ_4,occ_5,occ_6,profile_normalized,profile_unnormalized,profile_normalized_rational,profile_unnormalized_rational
0,0,0,0,0,0,3,0.12674268152421272,0.07118700455995881,1423740091199176332216904959023/11233312046717168028787920061884,1423740091199176332216904959023/20000000000000000000000000000000
0,0,0,0,0,1,2,0.15924259940743038,0.08944109051370219,298136968379007298569472273033/1872218674452861338131320010314,894410905137021895708416819099/10000000000000000000000000000000
0,0,0,0,0,2,1,0.09932235448083694,0.05578595005489493,1115719001097898524962706142211/11233312046717168028787920061884,1115719001097898524962706142211/20000000000000000000000000000000
0,0,0,0,0,3,0,0.0,0.0,0,0
0,0,0,0,1,0,2,0.029612315856049176,0.01663221922184755,332644384436951017931194617893/11233312046717168028787920061884,332644384436951017931194617893/20000000000000000000000000000000
0,0,0,0,1,1,1,0.024143909767635512,0.013560803622381615,271216072447632302192364214027/11233312046717168028787920061884,271216072447632302192364214027/20000000000000000000000000000000
0,0,0,0,1,2,0,1.0108280420717167e-05,5.677473411081871e-06,113549468221637425360571983/11233312046717168028787920061884,113549468221637425360571983/20000000000000000000000000000000
0,0,0,0,2,0,1,0.02950845696271584,0.016573885253965547,27623142089942578057991166836/936109337226430669065660005157,20717356567456933543493375127/1250000000000000000000000000000
0,0,0,0,2,1,0,6.837539113961989e-05,3.840410524938452e-05,768082104987690393920752289/11233312046717168028787920061884,768082104987690393920752289/20000000000000000000000000000000
0,0,0,0,3,0,0,0.01742858525677118,0.009789036836106246,195780736722124929621584319353/11233312046717168028787920061884,195780736722124929621584319353/20000000000000000000000000000000
0,0,0,1,0,0,2,0.0,0.0,0,0
0,0,0,1,0,1,1,0.06347557311685981,0.035652046008294885,713040920165897727194150349031/11233312046717168028787920061884,713040920165897727194150349031/20000000000000000000000000000000
0,0,0,1,0,2,0,0.0,0.0,0,0
0,0,0,1,1,0,1,0.0224330776967507,0.012599888096792593,20999813494654321945830027134/936109337226430669065660005157,31499720241981482918745040701/2500000000000000000000000000000
0,0,0,1,1,1,0,1.3250345201209543e-05,7.442263118595409e-06,148845262371908179666849223/11233312046717168028787920061884,148845262371908179666849223/20000000000000000000000000000000
