  n   sat(n)_Lfirst   sat(n)_Sfirst   ratio_L/n   ratio_L/(n/2)    time_s  optimal_first_moves_Lfirst
  4               2               2      0.5000          1.0000      0.00  [2, 3, 4]
  5               3               3      0.6000          1.2000      0.00  [2, 3, 4, 5]
  6               3               3      0.5000          1.0000      0.00  [2, 3, 4, 5, 6]
  7               4               4      0.5714          1.1429      0.00  [2, 3, 4, 5, 6, 7]
  8               4               4      0.5000          1.0000      0.00  [2, 3, 4, 5, 6, 7, 8]
  9               5               4      0.5556          1.1111      0.00  [6]
 10               5               4      0.5000          1.0000      0.00  [6]
 11               6               5      0.5455          1.0909      0.00  [6]
 12               6               5      0.5000          1.0000      0.00  [6, 12]
 13               7               6      0.5385          1.0769      0.00  [6, 12]
 14               7               6      0.5000          1.0000      0.00  [6, 12]
 15               7               6      0.4667          0.9333      0.00  [6, 12]
 16               7               6      0.4375          0.8750      0.00  [6, 12]
 17               8               7      0.4706          0.9412      0.01  [6, 12]
 18               8               7      0.4444          0.8889      0.01  [6, 12, 18]
 19               9               8      0.4737          0.9474      0.02  [6, 12, 18]
 20               9               8      0.4500          0.9000      0.02  [6, 12, 18]
 21              10               8      0.4762          0.9524      0.04  [6, 12]
 22              10               8      0.4545          0.9091      0.05  [6, 12]
 23              11               9      0.4783          0.9565      0.10  [6, 12]
 24              11               9      0.4583          0.9167      0.14  [6, 12, 24]
 25              11              10      0.4400          0.8800      0.26  [6, 12, 24]
 26              11              10      0.4231          0.8462      0.27  [6, 12, 24]
 27              11              10      0.4074          0.8148      0.47  [6, 12, 18, 24]
 28              12              10      0.4286          0.8571      0.52  [18]
 29              13              11      0.4483          0.8966      2.23  [18]
 30              13              11      0.4333          0.8667      2.07  [18]
 31              14              12      0.4516          0.9032      3.63  [18]
