move,player,x,killed_now,top_live
1,P,540540,190,499999
2,S,17,58822,470587
3,P,633650,43,470586
4,S,31,30360,455406
5,P,521848,28,455405
6,S,47,19378,445716
7,P,592116,57,445715
8,S,59,15109,438159
9,P,564006,25,438158
10,S,71,12342,431985
11,P,865050,37,431984
12,S,83,10408,426778
13,P,627183,18,426777
14,S,97,8797,422375
15,P,665792,23,422374
16,S,107,7891,418422
17,P,774336,41,418421
18,S,113,7399,414715
19,P,952512,59,414714
20,S,127,6520,411448
21,P,516000,69,411447
22,S,131,6266,408305
23,P,609376,17,408304
24,S,149,5464,405562
25,P,758624,17,405561
26,S,163,4953,403076
27,P,860384,36,403075
28,S,173,4632,400751
29,P,924768,77,400750
30,S,179,4446,398518
31,P,506800,36,398517
32,S,191,4137,396441
33,P,571280,24,396440
34,S,197,3986,394438
35,P,646352,27,394437
36,S,211,3696,392580
37,P,678960,72,392579
38,S,223,3477,390835
39,P,752400,98,390834
40,S,227,3398,389128
41,P,853712,14,389127
42,S,239,3209,387515
43,P,944720,36,387514
44,S,251,3038,385987
45,P,520168,19,385986
46,S,263,2885,384541
47,P,549080,33,384540
48,S,269,2808,383129
49,P,600536,11,383128
50,S,281,2672,381788
51,P,649768,19,381787
52,S,293,2550,380508
53,P,719992,36,380507
54,S,307,2423,379294
55,P,739320,39,379293
56,S,311,2381,378100
57,P,773736,19,378099
58,S,317,2324,376935
59,P,829400,50,376934
60,S,331,2218,375824
61,P,892440,55,375823
62,S,337,2168,374740
63,P,952168,19,374739
64,S,349,2087,373694
65,P,506908,8,373693
66,S,367,1975,372704
67,P,538612,11,372703
68,S,379,1906,371753
69,P,592884,20,371752
70,S,389,1850,370829
71,P,636788,8,370828
72,S,409,1756,369953
73,P,659340,52,369952
74,S,419,1707,369100
75,P,685548,17,369099
76,S,421,1693,368255
77,P,736148,14,368254
78,S,433,1644,367436
79,P,763860,28,367435
80,S,443,1602,366640
81,P,784980,59,366639
82,S,449,1578,365857
83,P,828084,14,365856
84,S,461,1528,365097
85,P,864884,8,365096
86,S,479,1470,364366
87,P,883596,26,364365
88,S,487,1441,363649
89,P,902484,38,363648
90,S,491,1426,362939
91,P,929292,47,362938
92,S,499,1400,362242
93,P,504006,9,362241
94,S,509,1368,361563
95,P,524286,33,361562
96,S,521,1334,360901
97,P,538690,9,360900
98,S,541,1280,360267
99,P,555450,35,360266
100,S,547,1267,359640
101,P,574574,23,359639
102,S,557,1238,359030
103,P,591870,15,359029
104,S,563,1223,358430
105,P,607194,25,358429
106,S,569,1208,357838
107,P,647514,21,357837
108,S,577,1189,357255
109,P,679746,9,357254
110,S,593,1155,356689
111,P,715206,9,356688
112,S,601,1139,356131
113,P,734470,13,356130
114,S,613,1117,355582
115,P,751506,17,355581
116,S,619,1101,355041
117,P,776250,37,355040
118,S,631,1077,354511
119,P,824326,5,354510
120,S,647,1053,353993
121,P,860654,5,353992
122,S,661,1027,353489
123,P,892430,31,353488
124,S,673,1007,352997
125,P,924782,5,352996
126,S,691,979,352515
127,P,941190,17,352514
128,S,701,962,352042
129,P,957710,17,352041
130,S,709,948,351577
131,P,982794,17,351576
132,S,719,935,351119
133,P,509747,5,351118
134,S,727,924,350666
135,P,527067,8,350665
136,S,733,912,350220
137,P,544643,4,350219
138,S,743,903,349780
139,P,567005,4,349779
140,S,757,889,349347
141,P,577599,8,349346
142,S,769,873,348924
143,P,588273,8,348923
144,S,773,868,348504
145,P,611515,8,348503
146,S,787,849,348095
147,P,630435,14,348094
148,S,797,842,347690
149,P,649627,4,347689
150,S,811,828,347291
151,P,664221,8,347290
152,S,821,817,346900
153,P,680621,2,346899
154,S,829,807,346513
155,P,693885,8,346512
156,S,839,794,346133
157,P,710645,8,346132
158,S,853,783,345760
159,P,719103,11,345759
160,S,857,778,345390
161,P,739599,8,345389
162,S,863,771,345025
163,P,756899,8,345024
164,S,877,758,344667
165,P,770875,8,344666
166,S,883,754,344311
167,P,800961,8,344310
168,S,907,733,343968
169,P,828099,6,343967
170,S,919,720,343632
171,P,857475,17,343631
172,S,929,712,343300
173,P,881717,2,343299
174,S,947,697,342976
175,P,904397,4,342975
176,S,967,684,342660
177,P,917763,16,342659
178,S,971,679,342347
179,P,948675,21,342346
180,S,977,672,342038
181,P,960399,12,342037
182,S,983,668,341732
183,P,986045,4,341731
184,S,997,657,341432
185,P,516608,12,341431
186,S,1013,647,341138
187,P,519680,38,341137
188,S,1019,646,340844
189,P,522752,9,340843
190,S,1031,639,340554
191,P,524800,21,340553
192,S,1033,639,340264
193,P,526848,37,340263
194,S,1039,635,339975
195,P,532992,15,339974
196,S,1049,630,339688
197,P,538112,9,339687
198,S,1061,623,339405
