move,player,x,killed_now,top_live
1,P,960960,1,499999
2,S,3,333331,333333
3,P,680680,1,333332
4,S,5,133332,266666
5,P,646646,1,266665
6,S,8,66666,233331
7,P,999983,0,233330
8,S,11,42422,212120
9,P,999979,0,212119
10,S,13,32634,195802
11,P,861764,1,195801
12,S,14,23975,183812
13,P,785726,1,183811
14,S,23,15982,175822
15,P,999961,0,175821
16,S,29,12125,169756
17,P,999959,0,169755
18,S,31,10952,164276
19,P,999953,0,164275
20,S,37,8872,159830
21,P,999931,0,159829
22,S,41,7779,155931
23,P,999917,0,155930
24,S,43,7224,152314
25,P,587876,1,152313
26,S,34,6987,148804
27,P,762988,1,148803
28,S,38,5867,145854
29,P,964532,1,145853
30,S,61,4730,143506
31,P,694522,1,143505
32,S,71,4007,141527
33,P,957322,1,141526
34,S,49,3657,139698
35,P,999907,0,139697
36,S,79,3517,137971
37,P,999883,0,137970
38,S,83,3314,136354
39,P,999863,0,136353
40,S,89,3069,134858
41,P,999853,0,134857
42,S,97,2804,133495
43,P,999809,0,133494
44,S,101,2681,132196
45,P,999773,0,132195
46,S,103,2622,130923
47,P,999769,0,130922
48,S,107,2520,129697
49,P,999763,0,129696
50,S,109,2462,128502
51,P,999749,0,128501
52,S,113,2367,127352
53,P,999727,0,127351
54,S,127,2108,126323
55,P,999721,0,126322
56,S,131,2035,125330
57,P,999683,0,125329
58,S,94,2022,124359
59,P,999671,0,124358
60,S,137,1936,123415
61,P,999667,0,123414
62,S,139,1902,122485
63,P,999653,0,122484
64,S,106,1771,121647
65,P,999631,0,121646
66,S,149,1767,120777
67,P,999623,0,120776
68,S,151,1735,119919
69,P,999613,0,119918
70,S,157,1670,119083
71,P,999611,0,119082
72,S,163,1604,118277
73,P,999599,0,118276
74,S,118,1578,117530
75,P,999563,0,117529
76,S,167,1559,116742
77,P,999553,0,116741
78,S,173,1498,115982
79,P,999541,0,115981
80,S,179,1445,115246
81,P,999529,0,115245
82,S,181,1426,114518
83,P,999521,0,114517
84,S,134,1389,113853
85,P,999499,0,113852
86,S,191,1341,113167
87,P,999491,0,113166
88,S,193,1319,112489
89,P,999451,0,112488
90,S,197,1284,111827
91,P,999437,0,111826
92,S,146,1275,111211
93,P,999433,0,111210
94,S,199,1269,110552
95,P,999431,0,110551
96,S,211,1188,109931
97,P,999389,0,109930
98,S,119,1128,109367
99,P,999377,0,109366
100,S,223,1111,108785
101,P,999371,0,108784
102,S,227,1083,108215
103,P,999359,0,108214
104,S,229,1071,107649
105,P,999331,0,107648
106,S,233,1050,107092
107,P,999329,0,107091
108,S,239,1012,106556
109,P,999307,0,106555
110,S,241,997,106024
111,P,999287,0,106023
112,S,133,951,105562
113,P,999269,0,105561
114,S,251,947,105052
115,P,999239,0,105051
116,S,257,921,104552
117,P,999233,0,104551
118,S,263,897,104063
119,P,999221,0,104062
120,S,269,871,103582
121,P,999217,0,103581
122,S,271,861,103105
123,P,999199,0,103104
124,S,277,839,102639
125,P,999181,0,102638
126,S,281,824,102180
127,P,999169,0,102179
128,S,283,813,101726
129,P,999149,0,101725
130,S,293,775,101290
131,P,999133,0,101289
132,S,307,735,100874
133,P,999101,0,100873
134,S,311,716,100467
135,P,999091,0,100466
136,S,313,707,100063
137,P,999083,0,100062
138,S,317,693,99665
139,P,999067,0,99664
140,S,331,656,99284
141,P,999049,0,99283
142,S,337,639,98910
143,P,999043,0,98909
144,S,347,613,98548
145,P,999029,0,98547
146,S,349,605,98187
147,P,506908,1,98186
148,S,359,578,97842
149,P,547564,1,97841
150,S,373,546,97518
151,P,580628,1,97517
152,S,383,525,97206
153,P,617732,1,97205
154,S,397,498,96906
155,P,656036,1,96905
156,S,409,478,96614
157,P,705596,1,96613
158,S,421,457,96334
159,P,746492,1,96333
160,S,433,440,96063
161,P,777908,1,96062
162,S,289,433,95841
163,P,795628,1,95840
164,S,449,414,95581
165,P,842708,1,95580
166,S,461,398,95328
167,P,864884,1,95327
168,S,467,391,95079
169,P,933092,1,95078
170,S,323,378,94875
171,P,956468,1,94874
172,S,329,364,94675
173,P,980036,1,94674
174,S,499,351,94444
175,P,512054,1,94443
176,S,509,338,94221
177,P,544966,1,94220
178,S,361,335,94035
179,P,565886,1,94034
180,S,371,314,93859
181,P,591854,1,93858
182,S,547,305,93653
183,P,627182,1,93652
184,S,563,293,93453
185,P,649798,1,93452
186,S,571,283,93256
187,P,677398,1,93255
188,S,413,277,93093
189,P,696182,1,93092
190,S,593,266,92906
191,P,719998,1,92905
192,S,601,260,92722
193,P,744182,1,92721
194,S,613,251,92542
195,P,763846,1,92541
196,S,619,244,92366
197,P,808942,1,92365
198,S,469,234,92223
199,P,824326,1,92222
200,S,643,227,92057
201,P,844982,1,92056
202,S,653,220,91895
203,P,871198,1,91894
204,S,661,213,91736
205,P,911242,1,91735
206,S,511,206,91603
207,P,924782,1,91602
208,S,683,197,91453
209,P,968782,1,91452
210,S,701,185,91312
211,P,4837,0,91312
212,S,709,181,91173
213,P,455621,0,91173
214,S,719,178,91037
215,P,4739,0,91037
216,S,727,174,90904
217,P,4711,0,90904
218,S,733,171,90774
219,P,4613,0,90774
220,S,739,168,90646
221,P,4529,0,90646
222,S,751,166,90519
223,P,4487,0,90519
224,S,743,165,90393
225,P,4417,0,90393
226,S,757,163,90269
227,P,4319,0,90269
228,S,761,159,90148
229,P,4249,0,90148
230,S,769,155,90031
231,P,4193,0,90031
232,S,773,152,89916
233,P,4109,0,89916
234,S,706,151,89799
235,P,243923,0,89799
236,S,787,143,89692
237,P,238981,0,89692
238,S,734,142,89581
239,P,248459,0,89581
240,S,797,139,89477
241,P,246991,0,89477
242,S,809,135,89377
243,P,241853,0,89377
244,S,811,133,89278
245,P,237449,0,89278
246,S,758,132,89174
247,P,249761,0,89174
248,S,821,128,89080
249,P,245213,0,89080
250,S,823,126,88988
251,P,242939,0,88988
252,S,829,123,88898
253,P,239149,0,88898
254,S,827,122,88809
255,P,233843,0,88809
256,S,839,118,88723
320,S,914,48,86949
384,S,1193,42,86187
448,S,1451,41,85238
512,S,1621,34,84389
576,S,1877,27,83747
640,S,2129,21,83280
704,S,2383,16,82962
768,S,2521,14,82779
832,S,2729,11,82685
896,S,2833,10,82678
960,S,3253,10,82678
1024,S,3607,10,82678
1088,S,3877,10,82678
1152,S,7393,10,82657
1216,S,7057,10,82625
1280,S,6793,10,82600
1344,S,6521,10,82600
1408,S,6229,10,82600
1472,S,5927,10,82600
1536,S,5669,10,82600
1600,S,5417,10,82600
1664,S,5107,10,82593
1728,S,4861,10,82561
1792,S,4567,10,82529
1856,S,4273,10,82497
1920,S,4019,10,82465
1984,S,8167,10,82379
2048,S,7867,10,82283
2112,S,7573,10,82187
2176,S,9319,10,82075
2240,S,9013,10,81947
2304,S,8737,10,81819
2368,S,10613,10,81688
2432,S,10301,10,81528
2496,S,10009,10,81368
2560,S,9721,10,81208
2624,S,11197,10,81046
2688,S,10889,10,80854
2752,S,11987,10,80662
2816,S,11717,10,80470
2880,S,11383,10,80278
2944,S,12539,10,80086
3008,S,12253,10,79894
3072,S,13619,10,79702
3136,S,13291,10,79510
3200,S,12979,10,79318
3264,S,12671,10,79126
3328,S,14699,9,78980
3392,S,14407,9,78820
3456,S,14033,9,78660
3520,S,13723,9,78500
3584,S,16657,8,78369
3648,S,16339,8,78241
3712,S,16001,8,78113
3776,S,15683,8,77985
3840,S,15391,8,77857
3904,S,15131,8,77729
3968,S,18731,7,77618
4032,S,18379,7,77522
4096,S,18097,7,77426
4160,S,17791,7,77330
4224,S,17477,7,77234
4288,S,17183,7,77138
4352,S,20341,6,77052
4416,S,20023,6,76988
4480,S,19727,6,76924
4544,S,19427,6,76860
4608,S,19087,6,76796
4672,S,21157,6,76732
4736,S,20857,6,76668
4800,S,20507,6,76604
4864,S,26153,5,76566
4928,S,25819,5,76534
4992,S,25471,5,76502
5056,S,25169,5,76470
5120,S,24841,5,76438
5184,S,24443,5,76406
5248,S,24103,5,76374
5312,S,23827,5,76342
5376,S,23549,5,76310
5440,S,23173,5,76278
5504,S,22871,5,76246
5568,S,22567,5,76214
5632,S,22229,5,76182
5696,S,21929,5,76150
5760,S,21601,5,76118
5824,S,21319,5,76086
5888,S,29153,5,76026
5952,S,28807,5,75962
6016,S,28547,5,75898
6080,S,28183,5,75834
6144,S,27847,5,75770
6208,S,27541,5,75706
6272,S,27179,5,75642
6336,S,26849,5,75578
6400,S,26539,5,75514
6464,S,32159,5,75439
6528,S,31793,5,75343
6592,S,31469,5,75247
6656,S,31147,5,75151
6720,S,30817,5,75055
6784,S,30469,5,74959
6848,S,30119,5,74863
6912,S,29759,5,74767
6976,S,34457,5,74671
7040,S,34141,5,74575
7104,S,33767,5,74479
7168,S,33479,5,74383
7232,S,33149,5,74287
7296,S,32831,5,74191
7360,S,32503,5,74095
7424,S,43411,5,73999
7488,S,43003,5,73903
7552,S,42697,5,73807
7616,S,42391,5,73711
7680,S,42071,5,73615
7744,S,41761,5,73519
7808,S,41443,5,73423
7872,S,41131,5,73327
7936,S,40801,5,73231
8000,S,40429,5,73135
8064,S,40037,5,73039
8128,S,39719,5,72943
8192,S,39359,5,72847
8256,S,39043,5,72751
8320,S,38711,5,72655
8384,S,38329,5,72559
8448,S,37991,5,72463
8512,S,37591,5,72367
8576,S,37313,5,72271
8640,S,36943,5,72175
8704,S,36671,5,72079
8768,S,36319,5,71983
8832,S,35993,5,71887
8896,S,35597,5,71793
8960,S,35281,5,71698
9024,S,34919,5,71604
9088,S,34591,5,71511
9152,S,52361,5,71416
9216,S,51977,5,71321
9280,S,51647,5,71225
9344,S,51349,5,71129
9408,S,50993,5,71033
9472,S,50593,5,70938
9536,S,50261,5,70842
9600,S,49927,5,70747
9664,S,49597,5,70652
9728,S,49253,5,70556
9792,S,48907,5,70462
9856,S,48589,5,70368
9920,S,48247,5,70273
9984,S,47869,5,70179
10048,S,47543,5,70083
10112,S,47221,5,69989
10176,S,46819,5,69895
10240,S,46499,5,69801
10304,S,46147,5,69706
10368,S,45767,5,69612
10432,S,45403,5,69517
10496,S,45053,5,69422
10560,S,44699,5,69326
10624,S,44357,5,69231
10688,S,44027,5,69136
10752,S,43661,5,69042
10816,S,58309,4,68962
10880,S,57973,4,68898
10944,S,57649,4,68834
11008,S,57259,4,68770
11072,S,56941,4,68706
11136,S,56633,4,68642
11200,S,56311,4,68578
11264,S,55933,4,68514
11328,S,55661,4,68450
11392,S,55259,4,68386
11456,S,54917,4,68322
11520,S,54547,4,68258
11584,S,54251,4,68194
11648,S,53861,4,68130
11712,S,53527,4,68066
11776,S,53149,4,68002
11840,S,52817,4,67938
11904,S,71339,3,67895
11968,S,70991,3,67863
12032,S,70639,3,67831
12096,S,70297,3,67799
12160,S,69997,3,67767
12224,S,69539,3,67735
12288,S,69193,3,67703
12352,S,68813,3,67671
12416,S,68473,3,67639
12480,S,68023,3,67607
12544,S,67709,3,67575
12608,S,67391,3,67543
12672,S,67043,3,67511
12736,S,66697,3,67479
12800,S,66343,3,67447
12864,S,65921,3,67415
12928,S,65587,3,67383
12992,S,65257,3,67351
13056,S,64919,3,67319
13120,S,64553,3,67287
13184,S,64109,3,67255
13248,S,63727,3,67223
13312,S,63443,3,67191
13376,S,63097,3,67159
13440,S,62723,3,67127
13504,S,62327,3,67095
13568,S,61987,3,67063
13632,S,61627,3,67031
13696,S,61291,3,66999
13760,S,60889,3,66967
13824,S,60527,3,66935
13888,S,60133,3,66903
13952,S,59743,3,66871
14016,S,59417,3,66839
14080,S,59093,3,66807
14144,S,76871,3,66769
14208,S,76493,3,66705
14272,S,76103,3,66641
14336,S,75721,3,66577
14400,S,75391,3,66513
14464,S,75029,3,66449
14528,S,74707,3,66385
14592,S,74323,3,66321
14656,S,73999,3,66257
14720,S,73609,3,66193
14784,S,73259,3,66129
14848,S,72889,3,66065
