move,player,x,killed_now,top_live
1,P,8648640,1,4999999
2,S,3,3333331,3333333
3,P,6806800,1,3333332
4,S,5,1333332,2666666
5,P,5173168,1,2666665
6,S,7,761903,2285713
7,P,5912192,1,2285712
8,S,11,415582,2077921
9,P,6180928,1,2077920
10,S,13,319678,1918081
11,P,6894112,1,1918080
12,S,19,201902,1817127
13,P,5624144,1,1817126
14,S,23,158009,1738123
15,P,9047536,1,1738122
16,S,29,119870,1678190
17,P,6019456,1,1678189
18,S,31,108270,1624056
19,P,8349568,1,1624055
20,S,37,87794,1580160
21,P,7672576,1,1580159
22,S,41,77093,1541612
23,P,6855232,1,1541611
24,S,47,65612,1508789
25,P,8605504,1,1508788
26,S,53,56937,1480292
27,P,7831424,1,1480291
28,S,59,50160,1455169
29,P,8893312,1,1455168
30,S,61,47667,1431289
31,P,5175616,1,1431288
32,S,67,42645,1409917
33,P,5639104,1,1409916
34,S,71,39599,1390064
35,P,7935392,1,1390063
36,S,73,37938,1371052
37,P,9022432,1,1371051
38,S,79,34522,1353759
39,P,8037056,1,1353758
40,S,89,30228,1338627
41,P,8759488,1,1338626
42,S,97,27399,1324918
43,P,9175648,1,1324917
44,S,103,25524,1312165
45,P,8090912,1,1312164
46,S,109,23863,1300261
47,P,7806944,1,1300260
48,S,127,20295,1290168
49,P,9763168,1,1290167
50,S,137,18678,1280894
51,P,7637216,1,1280893
52,S,139,18281,1271836
53,P,8672992,1,1271835
54,S,149,16951,1263459
55,P,9282272,1,1263458
56,S,151,16633,1255256
57,P,7088864,1,1255255
58,S,157,15918,1247420
59,P,8955872,1,1247419
60,S,163,15254,1239926
61,P,6621568,1,1239925
62,S,167,14827,1232656
63,P,6399616,1,1232655
64,S,173,14270,1225666
65,P,8374336,1,1225665
66,S,179,13738,1218958
67,P,8172512,1,1218957
68,S,181,13537,1212356
69,P,8935744,1,1212355
70,S,191,12801,1206121
71,P,7139456,1,1206120
72,S,193,12632,1199974
73,P,6858752,1,1199973
74,S,197,12339,1193972
75,P,7625248,1,1193971
76,S,199,12183,1188041
77,P,8052832,1,1188040
78,S,211,11487,1182453
79,P,6128704,1,1182452
80,S,223,10874,1177156
81,P,7197664,1,1177155
82,S,227,10672,1171955
83,P,7972864,1,1171954
84,S,229,10563,1166804
85,P,5450336,1,1166803
86,S,233,10366,1161739
87,P,5914912,1,1161738
88,S,239,10092,1156810
89,P,8915072,1,1156809
90,S,241,9989,1151931
91,P,9656272,1,1151930
92,S,251,9592,1147245
93,P,9157424,1,1147244
94,S,257,9352,1142672
95,P,9371216,1,1142671
96,S,263,9132,1138205
97,P,8698288,1,1138204
98,S,269,8924,1133839
99,P,8061808,1,1133838
100,S,271,8838,1129514
101,P,8178224,1,1129513
102,S,277,8631,1125289
103,P,8636816,1,1125288
104,S,281,8496,1121128
105,P,7774576,1,1121127
106,S,283,8417,1117006
107,P,6853856,1,1117005
108,S,293,8123,1113025
109,P,8433904,1,1113024
110,S,307,7748,1109227
111,P,9051344,1,1109226
112,S,311,7634,1105487
113,P,9620368,1,1105486
114,S,313,7571,1101777
115,P,7415264,1,1101776
116,S,317,7472,1098112
117,P,7742752,1,1098111
118,S,331,7152,1094595
119,P,7883104,1,1094594
120,S,337,7016,1091137
121,P,6788032,1,1091136
122,S,347,6803,1087776
123,P,7879024,1,1087775
124,S,349,6755,1084440
125,P,8257376,1,1084439
126,S,353,6670,1081146
127,P,6249472,1,1081145
128,S,359,6555,1077901
129,P,6388736,1,1077900
130,S,367,6393,1074730
131,P,8420848,1,1074729
132,S,373,6289,1071608
133,P,7009984,1,1071607
134,S,379,6179,1068538
135,P,8646608,1,1068537
136,S,383,6106,1065502
137,P,7194944,1,1065501
138,S,389,6003,1062512
139,P,9286624,1,1062511
140,S,401,5813,1059610
141,P,9004544,1,1059609
142,S,409,5697,1056761
143,P,7293952,1,1056760
144,S,419,5556,1053984
145,P,9848032,1,1053983
146,S,431,5397,1051279
147,P,7537664,1,1051278
148,S,439,5295,1048622
149,P,8193728,1,1048621
150,S,443,5239,1045990
151,P,9540352,1,1045989
152,S,449,5160,1043397
153,P,9710336,1,1043396
154,S,457,5062,1040852
155,P,8025088,1,1040851
156,S,463,4982,1038344
157,P,8129536,1,1038343
158,S,479,4805,1035924
159,P,8477696,1,1035923
160,S,491,4685,1033557
161,P,8686592,1,1033556
162,S,503,4567,1031250
163,P,8860672,1,1031249
