n,L,first_move,nodes,seconds
2,1,2,0,0.00
3,2,2,2,0.00
4,2,4,3,0.00
5,3,4,6,0.00
6,3,6,8,0.00
7,4,6,10,0.00
8,4,8,17,0.00
9,5,6,21,0.00
10,5,6,36,0.00
11,6,6,51,0.00
12,6,12,53,0.00
13,7,12,70,0.00
14,7,12,145,0.00
15,7,12,272,0.00
16,7,12,249,0.00
17,8,12,352,0.00
18,8,12,609,0.00
19,9,12,888,0.00
20,9,12,1028,0.00
21,10,12,1351,0.00
22,10,12,2234,0.00
23,11,12,3427,0.00
24,11,24,4601,0.00
25,11,24,4019,0.00
26,11,24,5792,0.00
27,11,24,13194,0.00
28,12,18,10641,0.00
29,13,18,16228,0.00
30,13,18,39145,0.00
31,14,18,59869,0.00
32,14,18,60880,0.00
33,14,24,92420,0.00
34,14,24,123110,0.00
35,15,30,95944,0.00
36,15,30,281383,0.00
37,16,30,426024,0.01
38,16,30,507258,0.01
39,16,30,1107090,0.01
40,16,30,357766,0.00
41,17,30,549771,0.01
42,17,30,720039,0.01
