n,shortener,prolonger,run_id,total_moves,L_over_n,L_log_n_over_n,elapsed_sec
500,S_star,P_pb,0,118,0.236,1.4666475112276371,0.002
500,S_star,P_sh,0,147,0.294,1.8270947809361244,0.003
1000,S_primorial,P_maker_breaker,0,171,0.171,1.1812261527059453,0.003
1000,S_primorial,P_composite,0,243,0.243,1.6785845327926592,0.004
1000,S_primorial,P_primorial_template,0,173,0.173,1.1950416632639096,0.003
1000,S_primorial,P_pb,0,225,0.225,1.5542449377709808,0.005
1000,S_primorial,P_random,0,171,0.171,1.1812261527059453,0.004
1000,S_primorial,P_random,1,177,0.177,1.2226726843798383,0.003
1000,S_primorial,P_random,3,168,0.168,1.160502886868999,0.004
1000,S_primorial,P_anti_S_star,0,303,0.303,2.0930498495315875,0.014
1000,S_primorial,P_random,2,225,0.225,1.5542449377709808,0.005
1000,S_primorial,P_random,4,174,0.174,1.2019494185428918,0.004
1000,S_primorial,P_sh,0,280,0.28,1.9341714781149983,0.005
1000,S_shadow,P_maker_breaker,0,173,0.173,1.1950416632639096,0.004
1000,S_shadow,P_composite,0,219,0.219,1.512798406097088,0.004
1000,S_shadow,P_pb,0,267,0.267,1.8443706594882305,0.005
1000,S_shadow,P_random,0,174,0.174,1.2019494185428918,0.004
1000,S_shadow,P_primorial_template,0,173,0.173,1.1950416632639096,0.004
1000,S_shadow,P_random,1,177,0.177,1.2226726843798383,0.003
1000,S_shadow,P_anti_S_star,0,304,0.304,2.0999576048105695,0.013
1000,S_primorial,P_pivot,0,283,0.283,1.9548947439519448,0.022
1000,S_shadow,P_random,2,195,0.195,1.3470122794015167,0.004
1000,S_shadow,P_random,3,171,0.171,1.1812261527059453,0.004
1000,S_shadow,P_random,4,174,0.174,1.2019494185428918,0.004
1000,S_star,P_maker_breaker,0,171,0.171,1.1812261527059453,0.004
1000,S_star,P_composite,0,243,0.243,1.6785845327926592,0.004
1000,S_star,P_pb,0,218,0.218,1.5058906508181058,0.004
1000,S_shadow,P_sh,0,283,0.283,1.9548947439519448,0.006
1000,S_star,P_primorial_template,0,173,0.173,1.1950416632639096,0.004
1000,S_star,P_random,1,177,0.177,1.2226726843798383,0.003
1000,S_star,P_random,0,171,0.171,1.1812261527059453,0.003
1000,S_shadow,P_pivot,0,275,0.275,1.8996327017200876,0.02
1000,S_star,P_anti_S_star,0,305,0.305,2.106865360089552,0.013
1000,S_star,P_random,4,174,0.174,1.2019494185428918,0.003
1000,S_star,P_random,3,168,0.168,1.160502886868999,0.004
1000,S_star,P_random,2,225,0.225,1.5542449377709808,0.004
1000,S_star,P_sh,0,280,0.28,1.9341714781149983,0.006
1000,S_star,P_pivot,0,283,0.283,1.9548947439519448,0.022
2000,S_star,P_pb,0,403,0.2015,1.5315818455977297,0.009
2000,S_star,P_sh,0,514,0.257,1.9534319321023152,0.012
5000,S_primorial,P_composite,0,941,0.1882,1.602935758624536,0.022
5000,S_primorial,P_maker_breaker,0,804,0.1608,1.369564665179731,0.027
5000,S_primorial,P_primorial_template,0,865,0.173,1.4734744221150093,0.022
5000,S_primorial,P_pb,0,941,0.1882,1.602935758624536,0.03
5000,S_primorial,P_random,0,675,0.135,1.1498210808411922,0.021
5000,S_primorial,P_random,1,677,0.1354,1.1532279581177587,0.023
5000,S_primorial,P_random,3,739,0.1478,1.25884115369132,0.025
5000,S_primorial,P_random,2,753,0.1506,1.2826892946272856,0.028
5000,S_primorial,P_random,4,742,0.1484,1.2639514696061698,0.023
5000,S_shadow,P_composite,0,864,0.1728,1.471770983476726,0.028
5000,S_primorial,P_anti_S_star,0,1347,0.2694,2.2945318457675343,0.089
5000,S_primorial,P_sh,0,1162,0.2324,1.979395697685134,0.037
5000,S_shadow,P_maker_breaker,0,771,0.1542,1.313351190116384,0.027
5000,S_primorial,P_pivot,0,1177,0.2354,2.0049472772593826,0.109
5000,S_shadow,P_primorial_template,0,771,0.1542,1.313351190116384,0.027
5000,S_shadow,P_pb,0,1113,0.2226,1.8959272044092548,0.032
5000,S_shadow,P_random,0,704,0.1408,1.1992208013514065,0.027
5000,S_shadow,P_random,1,679,0.1358,1.156634835394325,0.023
5000,S_shadow,P_anti_S_star,0,1314,0.2628,2.2383183707041874,0.082
5000,S_shadow,P_random,3,737,0.1474,1.2554342764147535,0.024
5000,S_shadow,P_random,2,708,0.1416,1.2060345559045393,0.027
5000,S_shadow,P_random,4,722,0.1444,1.2298826968405048,0.022
5000,S_star,P_maker_breaker,0,805,0.161,1.3712681038180143,0.025
5000,S_star,P_composite,0,941,0.1882,1.602935758624536,0.026
5000,S_star,P_pb,0,925,0.185,1.575680740412004,0.026
5000,S_shadow,P_sh,0,1160,0.232,1.9759888204085674,0.042
5000,S_star,P_random,1,677,0.1354,1.1532279581177587,0.02
5000,S_shadow,P_pivot,0,1167,0.2334,1.9879128908765498,0.113
5000,S_star,P_random,0,675,0.135,1.1498210808411922,0.023
5000,S_star,P_primorial_template,0,865,0.173,1.4734744221150093,0.027
5000,S_star,P_random,4,742,0.1484,1.2639514696061698,0.02
5000,S_star,P_random,3,739,0.1478,1.25884115369132,0.022
5000,S_star,P_random,2,753,0.1506,1.2826892946272856,0.025
5000,S_star,P_anti_S_star,0,1347,0.2694,2.2945318457675343,0.085
5000,S_star,P_sh,0,1162,0.2324,1.979395697685134,0.037
5000,S_star,P_pivot,0,1177,0.2354,2.0049472772593826,0.107
10000,S_star,P_pb,0,1689,0.1689,1.5556264888267775,0.056
10000,S_star,P_sh,0,2188,0.2188,2.015222473388389,0.089
20000,S_primorial,P_composite,0,2782,0.1391,1.3775751185577754,0.106
20000,S_primorial,P_primorial_template,0,2740,0.137,1.3567777946974495,0.107
20000,S_primorial,P_maker_breaker,0,2560,0.128,1.2676464067246243,0.135
20000,S_primorial,P_pb,0,2891,0.14455,1.431549125719097,0.145
20000,S_primorial,P_random,0,2338,0.1169,1.1577176948914731,0.117
20000,S_primorial,P_random,2,2396,0.1198,1.186437808793828,0.119
20000,S_primorial,P_random,1,2433,0.12165,1.2047592607660198,0.158
20000,S_primorial,P_random,3,2420,0.121,1.1983219938568714,0.129
20000,S_primorial,P_random,4,2453,0.12265,1.2146627483185561,0.148
20000,S_shadow,P_composite,0,2703,0.13515,1.3384563427252576,0.13
20000,S_primorial,P_pivot,0,4094,0.2047,2.027243902004145,0.433
20000,S_primorial,P_anti_S_star,0,4518,0.2259,2.237197838117911,0.5
20000,S_primorial,P_sh,0,4120,0.206,2.0401184358224422,0.25
20000,S_shadow,P_maker_breaker,0,2398,0.1199,1.1874281575490817,0.126
20000,S_shadow,P_pb,0,3144,0.1572,1.556828243258679,0.148
20000,S_shadow,P_primorial_template,0,2398,0.1199,1.1874281575490817,0.133
20000,S_shadow,P_random,0,2307,0.11535,1.1423672891850423,0.148
20000,S_shadow,P_random,1,2393,0.11965,1.1849522856609476,0.158
20000,S_shadow,P_random,2,2322,0.1161,1.1497949048494445,0.117
20000,S_shadow,P_random,3,2370,0.1185,1.173563274975531,0.126
20000,S_shadow,P_anti_S_star,0,4581,0.22905,2.2683938239084,0.531
20000,S_shadow,P_random,4,2422,0.1211,1.199312342612125,0.147
20000,S_star,P_composite,0,2782,0.1391,1.3775751185577754,0.117
20000,S_shadow,P_pivot,0,4073,0.20365,2.016845240073982,0.484
20000,S_star,P_maker_breaker,0,2561,0.12805,1.2681415811022512,0.125
20000,S_star,P_pb,0,2856,0.1428,1.414218022502159,0.128
20000,S_shadow,P_sh,0,4121,0.20605,2.040613610200069,0.288
20000,S_star,P_primorial_template,0,2740,0.137,1.3567777946974495,0.129
20000,S_star,P_random,0,2338,0.1169,1.1577176948914731,0.121
20000,S_star,P_random,2,2396,0.1198,1.186437808793828,0.104
20000,S_star,P_random,1,2433,0.12165,1.2047592607660198,0.132
20000,S_star,P_random,3,2420,0.121,1.1983219938568714,0.109
20000,S_star,P_random,4,2453,0.12265,1.2146627483185561,0.128
20000,S_star,P_anti_S_star,0,4518,0.2259,2.237197838117911,0.517
20000,S_star,P_pivot,0,4094,0.2047,2.027243902004145,0.437
20000,S_star,P_sh,0,4120,0.206,2.0401184358224422,0.254
50000,S_primorial,P_composite,0,6741,0.13482,1.4587225083041946,0.339
50000,S_primorial,P_maker_breaker,0,5899,0.11798,1.2765174419947252,0.384
50000,S_primorial,P_pb,0,7457,0.14914,1.6136617333369496,0.457
50000,S_primorial,P_primorial_template,0,6928,0.13856,1.4991884790878889,0.297
50000,S_primorial,P_pivot,0,9720,0.1944,2.1033648984893594,1.201
50000,S_primorial,P_random,0,5340,0.1068,1.1555523207750182,0.451
50000,S_primorial,P_anti_S_star,0,10465,0.2093,2.2645795949270724,1.964
50000,S_primorial,P_random,1,5263,0.10526,1.1388898622170265,0.387
50000,S_primorial,P_random,2,5493,0.10986,1.1886608423253138,0.471
50000,S_primorial,P_random,4,5621,0.11242,1.2163594747334041,0.418
50000,S_primorial,P_random,3,5369,0.10738,1.1618277921799762,0.472
50000,S_shadow,P_composite,0,6627,0.13254,1.434053413815739,0.424
50000,S_shadow,P_maker_breaker,0,5849,0.11698,1.265697663710315,0.367
50000,S_primorial,P_sh,0,9629,0.19258,2.0836729020117324,1.192
50000,S_shadow,P_pb,0,8293,0.16586,1.7945684262522894,0.466
50000,S_shadow,P_primorial_template,0,5849,0.11698,1.265697663710315,0.383
50000,S_shadow,P_anti_S_star,0,9675,0.1935,2.09362709803339,1.821
50000,S_shadow,P_random,0,5414,0.10828,1.1715655926359454,0.471
50000,S_shadow,P_random,1,5233,0.10466,1.1323979952463803,0.379
50000,S_shadow,P_pivot,0,9725,0.1945,2.1044468763178004,1.366
50000,S_shadow,P_random,4,5415,0.1083,1.1717819882016336,0.396
50000,S_shadow,P_random,3,5622,0.11244,1.2165758702990923,0.458
50000,S_shadow,P_random,2,5455,0.1091,1.180437810829162,0.493
