shortener,prolonger,n,seed,L,abs_L_over_n,L_times_logn_over_n,P_size,sum_inv_p,max_p_in_B,num_primes_in_B,sum_omega,log_log_n,ratio_to_loglog,wall_seconds
S_slp_odd,P_block_product,1000,0,187,0.187,1.2917502371696596,94,1.7141672233903524,997,87,111,1.9326447339160655,0.8869541273201216,0.004120166995562613
S_slp_odd,P_block_product,10000,0,1361,0.1361,1.2535273246259584,681,1.9532111435849588,9967,620,763,2.2203268063678463,0.8796953394352552,0.049746250006137416
S_slp_odd,P_block_product,100000,0,10576,0.10576,1.2176069971752512,5288,2.1370305298837606,99989,4809,5822,2.443470357682056,0.8745882769419013,0.7430926250090124
S_slp_odd,P_block_product,1000000,0,85003,0.085003,1.1743598439586371,42502,2.2965330259739267,999983,39281,45914,2.625791914476011,0.8746058715898707,10.14587149998988
S_slp_odd,P_interval_top,1000,0,201,0.201,1.3884588110754097,101,1.1027125653633694,997,68,165,1.9326447339160655,0.5705717900511248,0.0009843750012805685
S_slp_odd,P_interval_top,10000,0,1436,0.1436,1.32260487741578,718,1.0492754904755741,9949,511,1140,2.2203268063678463,0.47257704922819294,0.011323333004838787
S_slp_odd,P_interval_top,100000,0,12314,0.12314,1.4177016417564339,6157,1.2945737296942414,99971,3435,11550,2.443470357682056,0.529809467761381,0.15623179099929985
S_slp_odd,P_interval_top,1000000,0,95940,0.09594,1.3254600829310925,47970,1.2432685698282469,999979,30528,83218,2.625791914476011,0.47348328059588335,2.126280875003431
S_slp_odd,P_heuristic_maxdeg,1000,0,168,0.168,1.160502886868999,84,1.2335831151186951,991,84,84,1.9326447339160655,0.6382875721908388,0.0034404999896651134
S_slp_odd,P_heuristic_maxdeg,10000,0,1229,0.1229,1.131950831715873,615,1.3763583326301014,9973,615,615,2.2203268063678463,0.6198899768640983,0.0405349579959875
S_slp_odd,P_heuristic_maxdeg,100000,0,9592,0.09592,1.1043198105999443,4796,1.487436739148394,99989,4796,4796,2.443470357682056,0.6087394244305128,0.5658900419948623
