n,beta,gamma,method,S_size,R_covered,ratio,ratio_times_loglog_n,|M_Q|,|U_carr|
10000,0.35,0.45,greedy_R=|M_Q|/10,27,21,1.2857142857142858,2.854705893901517,205,176
10000,0.35,0.45,greedy_R=|M_Q|/5,44,41,1.0731707317073171,2.3827897434191523,205,176
10000,0.35,0.45,greedy_R=|M_Q|/2,90,104,0.8653846153846154,1.9214366593567902,205,176
10000,0.35,0.45,greedy_R=|M_Q|,176,205,0.8585365853658536,1.9062317947353216,205,176
10000,0.35,0.45,explicit,135,122,1.1065573770491803,2.456919007046387,205,176
10000,0.40,0.49,greedy_R=|M_Q|/10,37,23,1.608695652173913,3.571830079809144,221,180
10000,0.40,0.49,greedy_R=|M_Q|/5,50,45,1.1111111111111112,2.4670297848531626,221,180
10000,0.40,0.49,greedy_R=|M_Q|/2,94,111,0.8468468468468469,1.8802767549421402,221,180
10000,0.40,0.49,greedy_R=|M_Q|,180,221,0.8144796380090498,1.808410973512273,221,180
10000,0.40,0.49,explicit,149,152,0.9802631578947368,2.176504566768481,221,180
30000,0.35,0.45,greedy_R=|M_Q|/10,61,72,0.8472222222222222,1.9765802109971549,717,515
30000,0.35,0.45,greedy_R=|M_Q|/5,107,145,0.7379310344827587,1.721602481121773,717,515
30000,0.35,0.45,greedy_R=|M_Q|/2,255,359,0.7103064066852368,1.6571538734146658,717,515
30000,0.35,0.45,greedy_R=|M_Q|,515,717,0.7182705718270572,1.675734371899639,717,515
30000,0.35,0.45,explicit,374,386,0.9689119170984456,2.2604838155835973,717,515
30000,0.40,0.49,greedy_R=|M_Q|/10,68,62,1.096774193548387,2.558788131423075,610,420
30000,0.40,0.49,greedy_R=|M_Q|/5,102,123,0.8292682926829268,1.934693465222325,610,420
30000,0.40,0.49,greedy_R=|M_Q|/2,208,305,0.6819672131147541,1.5910381746784945,610,420
30000,0.40,0.49,greedy_R=|M_Q|,420,610,0.6885245901639344,1.6063366186657877,610,420
30000,0.40,0.49,explicit,373,483,0.772256728778468,1.8016847621267216,610,420
100000,0.35,0.45,greedy_R=|M_Q|/10,167,238,0.7016806722689075,1.714535923247493,2376,1436
100000,0.35,0.45,greedy_R=|M_Q|/5,307,476,0.6449579831932774,1.5759357138831749,2376,1436
100000,0.35,0.45,greedy_R=|M_Q|/2,694,1192,0.5822147651006712,1.4226245203283112,2376,1436
100000,0.35,0.45,greedy_R=|M_Q|,1436,2376,0.6043771043771043,1.4767775394071685,2376,1436
100000,0.35,0.45,explicit,1149,1446,0.7946058091286307,1.9415957406477746,2376,1436
100000,0.40,0.49,greedy_R=|M_Q|/10,163,226,0.7212389380530974,1.762325965938828,2257,1267
100000,0.40,0.49,greedy_R=|M_Q|/5,254,453,0.5607064017660044,1.3700694720777973,2257,1267
100000,0.40,0.49,greedy_R=|M_Q|/2,581,1129,0.5146147032772365,1.2574457730852742,2257,1267
100000,0.40,0.49,greedy_R=|M_Q|,1267,2257,0.5613646433318564,1.3716778658321511,2257,1267
100000,0.40,0.49,explicit,1018,1469,0.6929884275017019,1.693296680817109,2257,1267
300000,0.35,0.45,greedy_R=|M_Q|/10,473,731,0.6470588235294118,1.6400431168633935,7302,3894
300000,0.35,0.45,greedy_R=|M_Q|/5,821,1469,0.5588835942818243,1.4165531148005681,7302,3894
300000,0.35,0.45,greedy_R=|M_Q|/2,1839,3652,0.5035596933187295,1.2763284865702549,7302,3894
300000,0.35,0.45,greedy_R=|M_Q|,3894,7302,0.533278553820871,1.35165426969103,7302,3894
300000,0.35,0.45,explicit,3091,4114,0.7513368983957219,1.9043475861099735,7302,3894
300000,0.40,0.49,greedy_R=|M_Q|/10,400,655,0.6106870229007634,1.547854711265937,6533,3174
300000,0.40,0.49,greedy_R=|M_Q|/5,656,1308,0.5015290519877675,1.2711815985029582,6533,3174
300000,0.40,0.49,greedy_R=|M_Q|/2,1361,3268,0.41646266829865364,1.0555713139776437,6533,3174
300000,0.40,0.49,greedy_R=|M_Q|,3174,6533,0.4858411143425685,1.2314187620850088,6533,3174
300000,0.40,0.49,explicit,2761,4420,0.6246606334841629,1.583272393587353,6533,3174
1000000,0.35,0.45,greedy_R=|M_Q|/10,1432,2519,0.5684795553791187,1.4927090200594075,25113,11879
1000000,0.35,0.45,greedy_R=|M_Q|/5,2289,5024,0.45561305732484075,1.1963450820532622,25113,11879
1000000,0.35,0.45,greedy_R=|M_Q|/2,5380,12560,0.428343949044586,1.1247420780159982,25113,11879
1000000,0.35,0.45,greedy_R=|M_Q|,11879,25113,0.4730219408274599,1.2420571875944943,25113,11879
1000000,0.35,0.45,explicit,10204,15130,0.674421678783873,1.7708909910980313,25113,11879
1000000,0.40,0.49,greedy_R=|M_Q|/10,1292,2132,0.6060037523452158,1.5912397530501905,21311,8994
1000000,0.40,0.49,greedy_R=|M_Q|/5,1957,4271,0.4582065090142824,1.203154946529982,21311,8994
1000000,0.40,0.49,greedy_R=|M_Q|/2,3613,10657,0.3390259923055269,0.8902117093930587,21311,8994
1000000,0.40,0.49,greedy_R=|M_Q|,8994,21311,0.4220355684857585,1.1081775833511915,21311,8994
1000000,0.40,0.49,explicit,7910,14521,0.5447283244955582,1.4303432300465015,21311,8994
