N,T,edge_count,h,max_closed_edges,max_normalized_captured_boundary,max_normalized_captured_boundary_over_edges_per_h,max_useful_top_facets,max_useful_top_facets_over_edges,max_useful_top_facets_over_edges_per_h,max_useful_top_facets_turn,policy
4,1,4,3,2,3.0,2.25,5,1.25,3.75,3,simplex_star_cascade
4,1,4,3,2,3.0,2.25,5,1.25,3.75,3,smallest_neighborhood
4,1,4,3,2,3.0,2.25,5,1.25,3.75,3,highest_degree_vertex
4,1,4,3,2,3.0,2.25,5,1.25,3.75,3,max_claimed_overlap
4,1,4,3,2,3.0,2.25,5,1.25,3.75,3,lookahead1
4,1,4,3,2,3.0,2.25,5,1.25,3.75,3,shadow_pressure
5,3,10,3,3,4.0,1.2,7,0.7,2.1,5,simplex_star_cascade
5,3,10,3,3,4.0,1.2,7,0.7,2.1,5,smallest_neighborhood
5,3,10,3,3,4.0,1.2,7,0.7,2.1,5,highest_degree_vertex
5,3,10,3,3,4.0,1.2,7,0.7,2.1,5,max_claimed_overlap
5,3,10,3,3,4.0,1.2,7,0.7,2.1,5,lookahead1
5,3,10,3,3,4.0,1.2,7,0.7,2.1,5,shadow_pressure
6,4,20,3,6,5.333333333333334,0.8,10,0.5,1.5,9,simplex_star_cascade
6,5,20,3,5,5.333333333333334,0.8,10,0.5,1.5,9,smallest_neighborhood
6,5,20,3,6,5.333333333333334,0.8,10,0.5,1.5,9,highest_degree_vertex
6,5,20,3,5,5.333333333333334,0.8,10,0.5,1.5,9,max_claimed_overlap
6,5,20,3,5,5.333333333333334,0.8,10,0.5,1.5,9,lookahead1
6,4,20,3,6,5.666666666666666,0.8499999999999999,11,0.55,1.65,9,shadow_pressure
7,7,35,3,8,7.0,0.6,14,0.4,1.2,15,simplex_star_cascade
7,7,35,3,8,7.0,0.6,14,0.4,1.2,15,smallest_neighborhood
7,6,35,3,12,7.0,0.6,14,0.4,1.2,13,highest_degree_vertex
7,7,35,3,8,7.0,0.6,14,0.4,1.2,15,max_claimed_overlap
7,7,35,3,8,7.0,0.6,14,0.4,1.2,15,lookahead1
7,6,35,3,11,7.333333333333334,0.6285714285714287,15,0.42857142857142855,1.2857142857142858,11,shadow_pressure
8,9,56,3,14,7.666666666666666,0.41071428571428564,16,0.2857142857142857,0.8571428571428571,19,simplex_star_cascade
8,10,56,3,11,8.666666666666666,0.46428571428571425,18,0.32142857142857145,0.9642857142857142,21,smallest_neighborhood
8,9,56,3,16,9.0,0.4821428571428571,19,0.3392857142857143,1.0178571428571428,19,highest_degree_vertex
8,9,56,3,12,8.333333333333334,0.44642857142857145,17,0.30357142857142855,0.9107142857142857,19,max_claimed_overlap
8,10,56,3,11,8.666666666666666,0.46428571428571425,18,0.32142857142857145,0.9642857142857142,21,lookahead1
8,9,56,3,15,9.0,0.4821428571428571,19,0.3392857142857143,1.0178571428571428,17,shadow_pressure
